Symbol,Date,Open,High,Low,Close,PrevClose,Change,PctChange,Volume,AvgVol20,RVOL,VWAP,VWAP_Pos,VWAP_Band,VWAP_Dist%,EMA9,EMA20,EMA50,RSI,MACD,MACD_Signal,MACD_Hist,MACD_Cross,BB_Width%,BB_Pos,ATR,ADX,ADX_Trend,ADX_Dir,Supertrend,Breakout,Gap%,Gap_Type,Score,Label,ATR_Stop_L,ATR_Target_L,Vol_Spike
MOTILALOFS,01-09-2026,1047.0,1047.9,1008.0,1016.0,1042.9,-26.9,-2.58,501059,1240131,0.4,958.2,Above,Inside,6.03,1009.8,974.22,938.18,65.2,34.73,24.74,9.9936,,26.03,Inside,29.04,40.11,Strong Trend,Bull,Bull,,0.39,No Gap,40,Neutral,972.44,1074.07,
NAUKRI,01-09-2026,1335.0,1371.7,1327.2,1356.0,1313.0,43.0,3.27,1564586,1995531,0.78,1328.76,Above,Inside,2.05,1339.8,1318.3,1234.37,60.7,35.11,43.82,-8.7154,,13.17,Inside,37.14,39.72,Strong Trend,Bull,Bull,,1.68,Gap Up,40,Neutral,1300.3,1430.27,
OIL,01-09-2026,485.0,493.0,484.2,490.0,483.15,6.85,1.42,1788013,3051008,0.59,468.11,Above,Above +1σ,4.68,478.37,470.75,455.49,66.11,9.31,9.0,0.3046,Bull,11.38,Inside,12.54,28.44,Strong Trend,Bull,Bull,,0.38,No Gap,40,Neutral,471.19,515.08,
SAGILITY,01-09-2026,47.05,47.12,45.9,46.45,47.05,-0.6,-1.28,13884541,24160102,0.57,44.43,Above,Above +1σ,4.54,44.96,44.01,42.81,67.84,0.9,0.53,0.3661,,12.54,Above,1.39,26.26,Strong Trend,Bull,Bull,,0.0,No Gap,40,Neutral,44.37,49.22,
BAJAJHLDNG,01-09-2026,11480.0,11500.0,11282.0,11310.0,11644.0,-334.0,-2.87,44565,42626,1.05,11379.71,Below,Inside,-0.61,11395.8,11324.38,11040.37,51.39,115.61,141.68,-26.0747,,4.4,Inside,256.77,20.41,Weak Trend,Bull,Bull,,-1.41,Gap Down,37,Bear,10924.85,11823.54,
AMBER,01-09-2026,7640.0,7644.5,7490.0,7508.0,7620.0,-112.0,-1.47,100742,349531,0.29,7322.37,Above,Inside,2.54,7503.67,7439.87,7470.65,53.15,36.57,-11.1,47.6709,,10.4,Inside,185.84,15.94,No Trend,Bull,Bull,,0.26,No Gap,35,Bear,7229.24,7879.69,
BEL,01-09-2026,414.45,414.45,409.35,411.2,414.45,-3.25,-0.78,5623065,10049357,0.56,406.46,Above,Inside,1.17,411.01,408.77,407.69,53.82,2.16,1.64,0.5221,,5.67,Inside,6.62,12.16,No Trend,Bull,Bull,,0.0,No Gap,35,Bear,401.26,424.45,
BHEL,01-09-2026,437.25,437.25,423.2,426.55,442.65,-16.1,-3.64,7138019,8137503,0.88,420.85,Above,Inside,1.35,426.19,420.86,411.37,54.51,5.72,4.49,1.229,,9.92,Inside,12.46,29.34,Strong Trend,Bull,Bull,,-1.22,Gap Down,35,Bear,407.86,451.47,
CDSL,01-09-2026,1400.0,1407.4,1376.0,1391.0,1402.5,-11.5,-0.82,742552,1252737,0.59,1377.48,Above,Inside,0.98,1392.98,1376.04,1347.39,55.71,17.31,12.82,4.4951,,9.79,Inside,30.65,20.76,Weak Trend,Bull,Bull,,-0.18,No Gap,35,Bear,1345.03,1452.3,
FORTIS,01-09-2026,911.6,921.45,893.0,915.0,906.9,8.1,0.89,1605501,1570277,1.02,921.36,Below,Inside,-0.69,916.33,921.97,938.58,45.89,-8.14,-9.35,1.2094,,5.76,Inside,22.06,10.63,No Trend,Bull,Bear,,0.52,Gap Up,35,Bear,881.91,959.12,
